Project ID,Project Title,Initial Score,Criterion 1 (Objectives),Criterion 2 (Assignments),Criterion 3 (RunOfShow),Criterion 4 (Assessment),Criterion 5 (Materials),Criterion 6 (Audience),Batch,Priority,Status,Assigned To,Fields Needing Work,Notes,Completion Date
accessability-ai,AccessAbility AI: Captions  Alt-Text  and Simplified Reading,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
ai-emotional-weather-vane,AI Emotional Weather Vane,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
ar-disaster-wardens,AR Disaster Wardens,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
assistive-tech,Everyday Innovations: Designing Tools for Dignity,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
bio-looped-space-cuisine,Bio‑Looped Space Cuisine,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
bio-symphony-skylines,Bio‑Symphony Skylines,,,,,,,,B,Medium,Not Started,,,AI 60%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
carbon-negative-fashion-forge,Carbon‑Negative Fashion Forge,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
civic-ai-ombuds-office,Civic AI Ombuds Office,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
civic-signals,Civic Signals: AI Listening for Community Needs,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
climate-justice-wearables,Climate Justice Wearables,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
future-food,Future of Food: Closed-Loop Cafeteria,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
geoengineering-ethics-expedition,Geoengineering Ethics Expedition,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
harbor-health,Harbor Health: Monitoring Our Waterfront,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
inclusive-exoskeleton-studios,Inclusive Exoskeleton Studios,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
interspecies-language-translators,Interspecies Language Translators,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
living-history,Living History: Preserving Community Stories,,,,,,,,B,Medium,Not Started,,,AI 75%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
luminous-mycelium-networks,Luminous Mycelium Networks,,,,,,,,B,Medium,Not Started,,,AI 80%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
martian-water-architects,Martian Water Architects,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
metabolic-city-dashboards,Metabolic City Dashboards,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
move-fair,Move Fair: Rethinking Neighborhood Mobility,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
neuroplastic-playgrounds,Neuroplastic Playgrounds,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
ocean-dna-time-capsules,Ocean DNA Time Capsules,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
plastic-to-protein-microfactories,Plastic→Protein Microfactories,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
playable-city,Playable City: Designing Joy in Public Space,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
quantum-graffiti-labs,Quantum Graffiti Labs,,,,,,,,B,Medium,Not Started,,,AI 60%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
sensing-self,Sensing Self: Wearables for Well-Being,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
solarpunk-seed-vaults,Solarpunk Seed Vaults,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
sustainability-campaign,Campus Sustainability Initiative,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
synesthetic-data-galleries,Synesthetic Data Galleries,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
urban-heat,HeatSafe Blocks: Cooling Our Neighborhood,,,,,,,,B,Medium,Not Started,,,AI 100%; Checkpoints 100%; microRubric 4; noTechFallback 3; safety 3; voiceGaps 0; weakDirs 0; weakWeek 0,
