Project ID,Project Title,Initial Score,Criterion 1 (Objectives),Criterion 2 (Assignments),Criterion 3 (RunOfShow),Criterion 4 (Assessment),Criterion 5 (Materials),Criterion 6 (Audience),Batch,Priority,Status,Assigned To,Fields Needing Work,Notes,Completion Date
sustainability-campaign,Campus Sustainability Initiative,3.2,3,4,3,3,3,4,C,Low,Complete,,,Strong example - minor polish only,
bio-symphony-skylines,Bio-Symphony Skylines,3.8,4,4,4,4,3,4,C,Low,Complete,,,Exemplar - use as reference,
urban-heat,HeatSafe Blocks,3.5,4,4,3,4,4,3,C,Low,Complete,,,Strong example,
future-food,Future of Food,3.3,3,4,3,3,3,3,C,Low,Complete,,,Good baseline,
quantum-graffiti-labs,Quantum Graffiti Labs,3.4,3,3,4,4,3,3,C,Low,Complete,,,Strong on safety/ethics,
assistive-tech,Everyday Innovations,3.6,4,4,3,4,4,4,C,Low,Complete,,,Exemplar for HCD approach,
living-history,Living History,,,,,,,,,Not Started,,"microOverview, assignments, checkpoints",,
invasive-vegetation,Invasive Vegetation,,,,,,,,,Not Started,,"outcomes.core, microRubric, planningNotes",,
playable-city,Playable City,,,,,,,,,Not Started,,"studentDirections, successCriteria, aiOptional",,
harbor-health,Harbor Health,,,,,,,,,Not Started,,"checkpoints, microRubric",,
civic-signals,Civic Signals,,,,,,,,,Not Started,,"assignments depth, noTechFallback",,
sensing-self,Sensing Self,,,,,,,,,Not Started,,"outcomes rewrite, microRubric",,
move-fair,Move Fair,,,,,,,,,Not Started,,"studentDirections, checkpoints",,
luminous-mycelium-networks,Luminous Mycelium Networks,,,,,,,,,Not Started,,"outcomes.core, assignments, microRubric",,
plastic-to-protein-microfactories,Plastic-to-Protein Microfactories,,,,,,,,,Not Started,,"all assignments need aiOptional, checkpoints",,
martian-water-architects,Martian Water Architects,,,,,,,,,Not Started,,"studentDirections, microRubric, planningNotes",,
accessibility-ai,Accessibility AI,,,,,,,,,Not Started,,"outcomes.core, successCriteria, checkpoints",,
ar-disaster-wardens,AR Disaster Wardens,,,,,,,,,Not Started,,"assignments depth, safetyEthics, microRubric",,
solarpunk-seed-vaults,Solarpunk Seed Vaults,,,,,,,,,Not Started,,"outcomes rewrite, assignments, noTechFallback",,
metabolic-city-dashboards,Metabolic City Dashboards,,,,,,,,,Not Started,,"studentDirections specificity, microRubric",,
interspecies-language-translators,Interspecies Language Translators,,,,,,,,,Not Started,,"outcomes.core, aiOptional throughout, planningNotes",,
climate-justice-wearables,Climate Justice Wearables,,,,,,,,,Not Started,,"assignments depth, checkpoints, microRubric",,
inclusive-exoskeleton-studios,Inclusive Exoskeleton Studios,,,,,,,,,Not Started,,"studentDirections, safetyEthics, microRubric",,
geoengineering-ethics-expedition,Geoengineering Ethics Expedition,,,,,,,,,Not Started,,"outcomes.core, checkpoints, planningNotes",,
synesthetic-data-galleries,Synesthetic Data Galleries,,,,,,,,,Not Started,,"assignments, microRubric, aiOptional",,
ai-emotional-weather-vane,AI Emotional Weather Vane,,,,,,,,,Not Started,,"outcomes rewrite, studentDirections, successCriteria",,
civic-ai-ombuds-office,Civic AI Ombuds Office,,,,,,,,,Not Started,,"assignments depth, checkpoints, microRubric",,
ocean-dna-time-capsules,Ocean DNA Time Capsules,,,,,,,,,Not Started,,"studentDirections, safetyEthics, noTechFallback",,
carbon-negative-fashion-forge,Carbon Negative Fashion Forge,,,,,,,,,Not Started,,"outcomes.core, assignments, microRubric",,
bio-looped-space-cuisine,Bio-Looped Space Cuisine,,,,,,,,,Not Started,,"studentDirections, safetyEthics, checkpoints",,
neuroplastic-playgrounds,Neuroplastic Playgrounds,,,,,,,,,Not Started,,"outcomes.core, assignments depth, microRubric",,
