Project ID,Project Title,Initial Score,Criterion 1 (Objectives),Criterion 2 (Assignments),Criterion 3 (RunOfShow),Criterion 4 (Assessment),Criterion 5 (Materials),Criterion 6 (Audience),Batch,Priority,Status,Assigned To,Fields Needing Work,Notes,Completion Date
accessability-ai,AccessAbility AI: Captions  Alt-Text  and Simplified Reading,,,,,,,,A,High,Not Started,,microRubric short (0); planningNotes short (0 chars),AI 100%; Checkpoints 100%; microRubric 0; noTechFallback 3; planningNotes 0 chars (short); voiceGaps 0; weakDirs 0; weakWeek 0,
ai-emotional-weather-vane,AI Emotional Weather Vane,,,,,,,,A,High,Not Started,,microRubric short (0); planningNotes short (0 chars),AI 100%; Checkpoints 100%; microRubric 0; noTechFallback 3; planningNotes 0 chars (short); voiceGaps 0; weakDirs 0; weakWeek 0,
ar-disaster-wardens,AR Disaster Wardens,,,,,,,,A,High,Not Started,,microRubric short (0); planningNotes short (0 chars),AI 100%; Checkpoints 100%; microRubric 0; noTechFallback 3; planningNotes 0 chars (short); voiceGaps 0; weakDirs 0; weakWeek 0,
assistive-tech,Everyday Innovations: Designing Tools for Dignity,,,,,,,,A,High,Not Started,,microRubric short (0); planningNotes short (0 chars),AI 100%; Checkpoints 100%; microRubric 0; noTechFallback 3; planningNotes 0 chars (short); voiceGaps 0; weakDirs 0; weakWeek 0,
bio-looped-space-cuisine,Bio‑Looped Space Cuisine,,,,,,,,A,High,Not Started,,microRubric short (0); planningNotes short (0 chars),AI 100%; Checkpoints 100%; microRubric 0; noTechFallback 3; planningNotes 0 chars (short); voiceGaps 0; weakDirs 0; weakWeek 0,
bio-symphony-skylines,Bio‑Symphony Skylines,,,,,,,,A,High,Not Started,,microRubric short (0); planningNotes short (0 chars),AI 60%; Checkpoints 100%; microRubric 0; noTechFallback 3; planningNotes 0 chars (short); voiceGaps 0; weakDirs 0; weakWeek 0,
carbon-negative-fashion-forge,Carbon‑Negative Fashion Forge,,,,,,,,A,High,Not Started,,microRubric short (0); planningNotes short (0 chars),AI 100%; Checkpoints 100%; microRubric 0; noTechFallback 3; planningNotes 0 chars (short); voiceGaps 0; weakDirs 0; weakWeek 0,
civic-ai-ombuds-office,Civic AI Ombuds Office,,,,,,,,A,High,Not Started,,microRubric short (0); planningNotes short (0 chars),AI 100%; Checkpoints 100%; microRubric 0; noTechFallback 3; planningNotes 0 chars (short); voiceGaps 0; weakDirs 0; weakWeek 0,
civic-signals,Civic Signals: AI Listening for Community Needs,,,,,,,,A,High,Not Started,,microRubric short (0); planningNotes short (0 chars),AI 100%; Checkpoints 100%; microRubric 0; noTechFallback 3; planningNotes 0 chars (short); voiceGaps 0; weakDirs 0; weakWeek 0,
climate-justice-wearables,Climate Justice Wearables,,,,,,,,A,High,Not Started,,microRubric short (0); planningNotes short (0 chars),AI 100%; Checkpoints 100%; microRubric 0; noTechFallback 3; planningNotes 0 chars (short); voiceGaps 0; weakDirs 0; weakWeek 0,
future-food,Future of Food: Closed-Loop Cafeteria,,,,,,,,A,High,Not Started,,microRubric short (0); planningNotes short (0 chars),AI 100%; Checkpoints 100%; microRubric 0; noTechFallback 3; planningNotes 0 chars (short); voiceGaps 0; weakDirs 0; weakWeek 0,
